market,opening_price,trade_price,high_price,low_price,candle_acc_trade_volume,candle_date_time_kst
BTC-ARDR,1.2e-06,1.2e-06,1.2e-06,1.2e-06,73.80560074,2024-09-12T06:20:00
BTC-ARK,5.33e-06,5.33e-06,5.33e-06,5.33e-06,663.08630393,2024-09-14T09:30:00
BTC-ARK,5.35e-06,5.35e-06,5.35e-06,5.35e-06,32.02484779,2024-09-11T10:35:00
BTC-ARK,5.35e-06,5.35e-06,5.35e-06,5.35e-06,42.69979705,2024-09-11T01:00:00
BTC-STORJ,6.07e-06,6.07e-06,6.07e-06,6.07e-06,152.0518975,2024-09-14T11:50:00
BTC-STORJ,6.06e-06,6.06e-06,6.06e-06,6.06e-06,61.81743251,2024-09-14T09:45:00
BTC-STORJ,6.28e-06,6.28e-06,6.28e-06,6.28e-06,259.57802547,2024-09-13T16:40:00
BTC-GRS,4.83e-06,4.83e-06,4.83e-06,4.83e-06,157.33700682,2024-09-14T21:10:00
BTC-GRS,4.83e-06,4.83e-06,4.83e-06,4.83e-06,202.25158146,2024-09-14T11:25:00
BTC-GRS,5.09e-06,5.09e-06,5.09e-06,5.09e-06,172.5165209,2024-09-13T15:50:00
BTC-RLC,2.518e-05,2.518e-05,2.518e-05,2.518e-05,3.6282764,2024-09-14T22:30:00
BTC-RLC,2.518e-05,2.518e-05,2.518e-05,2.518e-05,22.23987291,2024-09-14T19:50:00
BTC-RLC,2.49e-05,2.49e-05,2.49e-05,2.49e-05,1979.91967872,2024-09-14T19:00:00
USDT-BTC,59684.62,59684.62,59684.62,59684.62,0.0017303,2024-09-14T22:45:00
USDT-BTC,59684.62,59684.62,59684.62,59684.62,1.844e-05,2024-09-14T22:40:00
USDT-BTC,59685.0,59685.0,59685.0,59685.0,0.01306688,2024-09-14T22:10:00
USDT-ETH,2413.75,2413.75,2413.75,2413.75,0.00099363,2024-09-14T21:30:00
USDT-ETH,2424.61,2424.61,2424.61,2424.61,0.00023921,2024-09-14T16:25:00
USDT-ETH,2421.57,2421.57,2421.57,2421.57,0.00089556,2024-09-14T15:00:00
USDT-XRP,0.59,0.59,0.59,0.59,40.0,2024-09-14T20:45:00
USDT-XRP,0.5862,0.5862,0.5862,0.5858,500.57905965,2024-09-14T20:25:00
USDT-XRP,0.5848,0.5848,0.5848,0.5848,0.00057273,2024-09-14T20:15:00
USDT-ETC,18.79,18.81,18.81,18.79,0.59387284,2024-09-14T06:35:00
USDT-ETC,18.79,18.79,18.79,18.79,7.59,2024-09-14T06:30:00
USDT-ETC,18.57,18.57,18.57,18.57,0.10342214,2024-09-14T01:00:00
KRW-NEO,12990.0,12990.0,12990.0,12990.0,2030.68669163,2024-09-14T22:50:00
KRW-NEO,12990.0,12990.0,12990.0,12990.0,4.46578039,2024-09-14T22:45:00
KRW-NEO,13000.0,12990.0,13000.0,12990.0,245.45059889,2024-09-14T22:40:00
KRW-MTL,1226.0,1228.0,1228.0,1226.0,3340.79732998,2024-09-14T22:50:00
KRW-MTL,1226.0,1226.0,1226.0,1226.0,197.10769101,2024-09-14T22:45:00
KRW-MTL,1228.0,1228.0,1228.0,1228.0,8.14332247,2024-09-14T22:40:00
