Product ID,Item ID,Vendor Item ID
192137566,549656315,71785021009
4354949869,5114358320,72423875119
276993644,877422331,5213825519
6592639575,10484821565,77766557506
192137568,549656318,4442319474
4744789493,6032995407,73330579108
5877809049,10301141729,77583447249
7440092608,19344788853,86458206298
4359286687,5125421059,72434896664
5463245022,8368941558,75656677270
5380364304,7989980751,75278847834
6424880263,19262068639,86377502239
5611991510,9072375286,76358677658
5463245022,8368941558,75656677270
6424880263,19262068639,86377502239
185917305,983874259,5510637175
5071588446,380700646,3922489847
5463245073,8368941696,75656677392
7170207053,18062384277,85216120145
7282209095,18594602213,85730784252
1232968322,2189623987,70187605147
4744789493,6032995407,73330579108
5877809049,10301141729,77583447249
7440092608,19344788853,86458206298
4359286687,5125421059,72434896664
5380364304,7989980751,75278847834
5611991510,9072375286,76358677658
7405746391,19177361148,86295327394
7662459345,20417824961,87499565816
